MAX_DISTANCE=20.0,MIN_BLOCK_COUNT=35
TotalCoalOre=9312,TotalDistance=2424.24

431,168,401
433,161,419
418,149,420
407,134,421
393,134,430
396,129,437
400,129,424
394,142,419
409,137,408
418,137,401
435,136,408
442,144,416
438,153,418
428,156,419
429,168,418
427,179,426
424,187,421
419,183,412
403,183,411
393,187,413
390,168,408
391,156,409
385,152,393
388,160,409
376,161,404
362,155,407
356,169,395
351,161,401
347,150,397
363,146,395
359,143,392
342,135,396
352,127,393
339,118,393
329,125,402
315,123,399
316,135,386
314,130,384
315,114,388
311,122,387
311,126,402
300,135,411
312,144,400
300,147,385
286,141,379
289,125,368
294,122,372
285,123,355
274,134,355
266,131,372
277,142,382
274,129,387
282,118,396
298,116,407
295,108,407
298,104,407
309,93,412
305,95,400
316,90,387
305,87,383
309,89,374
298,76,371
303,69,371
301,51,366
308,39,373
309,56,373
297,67,376
296,77,364
292,75,369
275,79,372
291,86,368
287,88,354
283,78,347
269,79,354
256,83,350
258,95,337
254,95,345
252,88,328
256,85,323
254,70,333
252,71,343
260,69,344
274,63,355
270,58,371
280,46,372
287,44,379
301,39,376
297,33,386
284,37,397
274,40,398
272,50,400
269,39,402
271,36,396
278,45,383
261,52,380
248,55,380
255,59,388
269,56,398
271,70,412
258,72,417
259,91,419
261,79,429
259,93,438
255,97,421
262,91,426
271,75,425
276,70,442
278,63,437
282,50,445
298,58,447
310,53,443
296,66,448
292,75,450
298,76,452
296,77,445
305,83,434
290,79,440
283,94,438
277,89,451
281,88,456
286,82,443
295,75,440
302,77,445
309,89,455
315,107,460
311,122,468
310,112,483
298,104,488
295,108,488
279,117,482
280,102,471
282,117,463
275,125,467
274,130,481
284,146,480
283,138,466
275,153,468
264,160,465
258,168,470
242,167,464
230,179,472
246,168,472
254,186,469
261,182,484
246,176,477
259,177,472
271,181,481
275,169,489
263,163,503
274,164,497
270,157,490
281,152,496
287,134,497
292,131,497
285,114,493
287,123,508
289,115,508
289,111,507
273,112,518
279,95,513
273,110,503
269,123,514
254,130,515
255,131,531
245,135,526
236,128,515
